YEAR,OCC1950,MARST,mariageStatusCount,teacherCount,percent,MaritalStatus,Profession
1960,0,4.0,686,26734,2.5660207974863467,Divorced,Accountants and auditors
1960,0,5.0,762,26734,2.8503029849629686,Widowed,Accountants and auditors
1960,0,6.0,4032,26734,15.081918156654448,Never married/single,Accountants and auditors
1970,0,1.0,12311,16398,75.07622880839126,"Married, spouse present",Accountants and auditors
1970,0,2.0,216,16398,1.3172338090010975,"Married, spouse absent",Accountants and auditors
1970,0,3.0,178,16398,1.0854982314916453,Separated,Accountants and auditors
1970,0,4.0,629,16398,3.835833638248567,Divorced,Accountants and auditors
1970,0,5.0,564,16398,3.4394438346139777,Widowed,Accountants and auditors
1970,0,6.0,2500,16398,15.245761678253444,Never married/single,Accountants and auditors
1980,0,1.0,35944,55679,64.55575710770668,"Married, spouse present",Accountants and auditors
1980,0,2.0,430,55679,0.7722839849853625,"Married, spouse absent",Accountants and auditors
1980,0,3.0,834,55679,1.4978717290181216,Separated,Accountants and auditors
1980,0,4.0,4114,55679,7.388782126115771,Divorced,Accountants and auditors
1980,0,5.0,1357,55679,2.4371845758724113,Widowed,Accountants and auditors
1980,0,6.0,13000,55679,23.348120476301656,Never married/single,Accountants and auditors
1990,0,1.0,53068,82808,64.08559559462854,"Married, spouse present",Accountants and auditors
1990,0,2.0,728,82808,0.879142111873249,"Married, spouse absent",Accountants and auditors
1990,0,3.0,1227,82808,1.4817408945995556,Separated,Accountants and auditors
1990,0,4.0,7311,82808,8.828857115254566,Divorced,Accountants and auditors
1990,0,5.0,1841,82808,2.223215148294851,Widowed,Accountants and auditors
1990,0,6.0,18633,82808,22.50144913534924,Never married/single,Accountants and auditors
2000,0,1.0,63121,97459,64.76672241660596,"Married, spouse present",Accountants and auditors
2000,0,2.0,1283,97459,1.3164510204291036,"Married, spouse absent",Accountants and auditors
2000,0,3.0,1451,97459,1.4888312008126494,Separated,Accountants and auditors
2000,0,4.0,9948,97459,10.207369252711397,Divorced,Accountants and auditors
2000,0,5.0,2292,97459,2.351758175232662,Widowed,Accountants and auditors
2000,0,6.0,19364,97459,19.868867934208232,Never married/single,Accountants and auditors
2001,0,1.0,5887,8931,65.91647071996417,"Married, spouse present",Accountants and auditors
2001,0,2.0,88,8931,0.985331989698802,"Married, spouse absent",Accountants and auditors
2001,0,3.0,117,8931,1.3100436681222707,Separated,Accountants and auditors
2001,0,4.0,908,8931,10.166834620983092,Divorced,Accountants and auditors
2001,0,5.0,202,8931,2.2617847945358864,Widowed,Accountants and auditors
2001,0,6.0,1729,8931,19.359534206695777,Never married/single,Accountants and auditors
2002,0,1.0,5603,8275,67.70996978851964,"Married, spouse present",Accountants and auditors
2002,0,2.0,97,8275,1.1722054380664653,"Married, spouse absent",Accountants and auditors
2002,0,3.0,111,8275,1.341389728096677,Separated,Accountants and auditors
2002,0,4.0,814,8275,9.836858006042295,Divorced,Accountants and auditors
2002,0,5.0,189,8275,2.283987915407855,Widowed,Accountants and auditors
2002,0,6.0,1461,8275,17.65558912386707,Never married/single,Accountants and auditors
2003,0,1.0,6486,9809,66.12294831277399,"Married, spouse present",Accountants and auditors
2003,0,2.0,120,9809,1.223366296258538,"Married, spouse absent",Accountants and auditors
2003,0,3.0,120,9809,1.223366296258538,Separated,Accountants and auditors
2003,0,4.0,994,9809,10.13355082067489,Divorced,Accountants and auditors
2003,0,5.0,244,9809,2.487511469059027,Widowed,Accountants and auditors
2003,0,6.0,1845,9809,18.80925680497502,Never married/single,Accountants and auditors
2004,0,1.0,6585,9903,66.49500151469252,"Married, spouse present",Accountants and auditors
2004,0,2.0,108,9903,1.0905786125416541,"Married, spouse absent",Accountants and auditors
2004,0,3.0,123,9903,1.2420478642835504,Separated,Accountants and auditors
2004,0,4.0,1058,9903,10.68363122286176,Divorced,Accountants and auditors
2004,0,5.0,227,9903,2.2922346763606987,Widowed,Accountants and auditors
2004,0,6.0,1802,9903,18.19650610925982,Never married/single,Accountants and auditors
2005,0,1.0,15718,23564,66.70344593447632,"Married, spouse present",Accountants and auditors
2005,0,2.0,276,23564,1.1712782210151078,"Married, spouse absent",Accountants and auditors
2005,0,3.0,293,23564,1.243422169410966,Separated,Accountants and auditors
2005,0,4.0,2421,23564,10.274147003904261,Divorced,Accountants and auditors
2005,0,5.0,578,23564,2.4528942454591753,Widowed,Accountants and auditors
2005,0,6.0,4278,23564,18.15481242573417,Never married/single,Accountants and auditors
2006,0,1.0,15771,23863,66.08976239366383,"Married, spouse present",Accountants and auditors
2006,0,2.0,290,23863,1.215270502451494,"Married, spouse absent",Accountants and auditors
2006,0,3.0,298,23863,1.2487952059673972,Separated,Accountants and auditors
2006,0,4.0,2506,23863,10.501613376356703,Divorced,Accountants and auditors
2006,0,5.0,561,23863,2.3509198340527173,Widowed,Accountants and auditors
2006,0,6.0,4437,23863,18.59363868750786,Never married/single,Accountants and auditors
2007,0,1.0,16784,25206,66.58732047925096,"Married, spouse present",Accountants and auditors
2007,0,2.0,307,25206,1.2179639768309132,"Married, spouse absent",Accountants and auditors
2007,0,3.0,306,25206,1.2139966674601286,Separated,Accountants and auditors
2007,0,4.0,2531,25206,10.04126001745616,Divorced,Accountants and auditors
2007,0,5.0,565,25206,2.2415297944933745,Widowed,Accountants and auditors
2007,0,6.0,4713,25206,18.69792906450845,Never married/single,Accountants and auditors
2008,0,1.0,16930,25660,65.97817614964926,"Married, spouse present",Accountants and auditors
2008,0,2.0,307,25660,1.196414653156664,"Married, spouse absent",Accountants and auditors
2008,0,3.0,304,25660,1.1847233047544818,Separated,Accountants and auditors
2008,0,4.0,2567,25660,10.00389711613406,Divorced,Accountants and auditors
2008,0,5.0,617,25660,2.4045206547155105,Widowed,Accountants and auditors
2008,0,6.0,4935,25660,19.232268121590025,Never married/single,Accountants and auditors
2009,0,1.0,16947,25494,66.47446457990115,"Married, spouse present",Accountants and auditors
2009,0,2.0,305,25494,1.1963599278261552,"Married, spouse absent",Accountants and auditors
2009,0,3.0,276,25494,1.0826076723935045,Separated,Accountants and auditors
2009,0,4.0,2646,25494,10.378912685337728,Divorced,Accountants and auditors
2009,0,5.0,565,25494,2.216207735153369,Widowed,Accountants and auditors
2009,0,6.0,4755,25494,18.65144739938809,Never married/single,Accountants and auditors
2010,0,1.0,16319,25019,65.22642791478476,"Married, spouse present",Accountants and auditors
2010,0,2.0,306,25019,1.2230704664455014,"Married, spouse absent",Accountants and auditors
2010,0,3.0,320,25019,1.2790279387665373,Separated,Accountants and auditors
2010,0,4.0,2657,25019,10.619928854070906,Divorced,Accountants and auditors
2010,0,5.0,582,25019,2.32623206363164,Widowed,Accountants and auditors
2010,0,6.0,4835,25019,19.32531276230065,Never married/single,Accountants and auditors
2011,0,1.0,15157,23712,63.921221322537114,"Married, spouse present",Accountants and auditors
2011,0,2.0,312,23712,1.3157894736842104,"Married, spouse absent",Accountants and auditors
2011,0,3.0,313,23712,1.3200067476383266,Separated,Accountants and auditors
2011,0,4.0,2552,23712,10.762483130904183,Divorced,Accountants and auditors
2011,0,5.0,648,23712,2.7327935222672064,Widowed,Accountants and auditors
2011,0,6.0,4730,23712,19.947705802968958,Never married/single,Accountants and auditors
2012,0,1.0,15984,24790,64.4776119402985,"Married, spouse present",Accountants and auditors
2012,0,2.0,343,24790,1.3836224283985479,"Married, spouse absent",Accountants and auditors
2012,0,3.0,289,24790,1.1657926583299718,Separated,Accountants and auditors
2012,0,4.0,2616,24790,10.552642194433238,Divorced,Accountants and auditors
2012,0,5.0,662,24790,2.6704316256555063,Widowed,Accountants and auditors
2012,0,6.0,4896,24790,19.74989915288423,Never married/single,Accountants and auditors
2013,0,1.0,15778,24569,64.21913793805201,"Married, spouse present",Accountants and auditors
2013,0,2.0,351,24569,1.4286295738532298,"Married, spouse absent",Accountants and auditors
2013,0,3.0,295,24569,1.2007000691928853,Separated,Accountants and auditors
2013,0,4.0,2559,24569,10.41556432903252,Divorced,Accountants and auditors
2013,0,5.0,655,24569,2.6659611705808133,Widowed,Accountants and auditors
2013,0,6.0,4931,24569,20.070006919288534,Never married/single,Accountants and auditors
2014,0,1.0,14800,23269,63.60393656796597,"Married, spouse present",Accountants and auditors
2014,0,2.0,385,23269,1.654561863423439,"Married, spouse absent",Accountants and auditors
2014,0,3.0,249,23269,1.0700932571232111,Separated,Accountants and auditors
2014,0,4.0,2545,23269,10.937298551721174,Divorced,Accountants and auditors
2014,0,5.0,631,23269,2.7117624307017922,Widowed,Accountants and auditors
2014,0,6.0,4659,23269,20.02234732906442,Never married/single,Accountants and auditors
2015,0,1.0,15203,23899,63.613540315494376,"Married, spouse present",Accountants and auditors
2015,0,2.0,394,23899,1.6486045441231851,"Married, spouse absent",Accountants and auditors
2015,0,3.0,277,23899,1.1590443114774676,Separated,Accountants and auditors
2015,0,4.0,2590,23899,10.837273526088957,Divorced,Accountants and auditors
2015,0,5.0,653,23899,2.732331896732081,Widowed,Accountants and auditors
2015,0,6.0,4782,23899,20.009205406083936,Never married/single,Accountants and auditors
2016,0,1.0,15219,23946,63.555499874718116,"Married, spouse present",Accountants and auditors
2016,0,2.0,359,23946,1.499206548066483,"Married, spouse absent",Accountants and auditors
2016,0,3.0,296,23946,1.2361145911634512,Separated,Accountants and auditors
2016,0,4.0,2525,23946,10.544558590161197,Divorced,Accountants and auditors
2016,0,5.0,689,23946,2.8773072747014115,Widowed,Accountants and auditors
2016,0,6.0,4858,23946,20.287313121189342,Never married/single,Accountants and auditors
2017,0,1.0,15833,24927,63.51747101536487,"Married, spouse present",Accountants and auditors
2017,0,2.0,393,24927,1.5766036827536405,"Married, spouse absent",Accountants and auditors
2017,0,3.0,271,24927,1.0871745496850804,Separated,Accountants and auditors
2017,0,4.0,2642,24927,10.598948930878164,Divorced,Accountants and auditors
2017,0,5.0,654,24927,2.623661090383921,Widowed,Accountants and auditors
2017,0,6.0,5134,24927,20.59614073093433,Never married/single,Accountants and auditors
2018,0,1.0,15825,25052,63.16860929267124,"Married, spouse present",Accountants and auditors
2018,0,2.0,402,25052,1.6046623024109852,"Married, spouse absent",Accountants and auditors
2018,0,3.0,305,25052,1.2174676672521156,Separated,Accountants and auditors
2018,0,4.0,2651,25052,10.581989461919209,Divorced,Accountants and auditors
2018,0,5.0,673,25052,2.6864122624940125,Widowed,Accountants and auditors
2018,0,6.0,5196,25052,20.740859013252436,Never married/single,Accountants and auditors
2019,0,1.0,13730,21590,63.59425660027791,"Married, spouse present",Accountants and auditors
2019,0,2.0,313,21590,1.4497452524316814,"Married, spouse absent",Accountants and auditors
2019,0,3.0,202,21590,0.9356183418249189,Separated,Accountants and auditors
2019,0,4.0,2266,21590,10.495599814729042,Divorced,Accountants and auditors
2019,0,5.0,559,21590,2.589161648911533,Widowed,Accountants and auditors
2019,0,6.0,4520,21590,20.93561834182492,Never married/single,Accountants and auditors
1880,1,1.0,177,565,31.327433628318584,"Married, spouse present",Actors and actresses
1880,1,2.0,63,565,11.150442477876107,"Married, spouse absent",Actors and actresses
1880,1,4.0,5,565,0.8849557522123894,Divorced,Actors and actresses
1880,1,5.0,26,565,4.601769911504425,Widowed,Actors and actresses
1880,1,6.0,294,565,52.03539823008849,Never married/single,Actors and actresses
1900,1,1.0,241,784,30.739795918367346,"Married, spouse present",Actors and actresses
1900,1,2.0,73,784,9.311224489795919,"Married, spouse absent",Actors and actresses
1900,1,4.0,9,784,1.1479591836734695,Divorced,Actors and actresses
1900,1,5.0,38,784,4.846938775510204,Widowed,Actors and actresses
1900,1,6.0,423,784,53.954081632653065,Never married/single,Actors and actresses
1910,1,1.0,133,326,40.79754601226993,"Married, spouse present",Actors and actresses
1910,1,2.0,23,326,7.05521472392638,"Married, spouse absent",Actors and actresses
1910,1,4.0,6,326,1.8404907975460123,Divorced,Actors and actresses
1910,1,5.0,13,326,3.9877300613496933,Widowed,Actors and actresses
1910,1,6.0,151,326,46.31901840490797,Never married/single,Actors and actresses
1920,1,1.0,90,246,36.58536585365854,"Married, spouse present",Actors and actresses
1920,1,2.0,25,246,10.16260162601626,"Married, spouse absent",Actors and actresses
1920,1,4.0,10,246,4.0650406504065035,Divorced,Actors and actresses
1920,1,5.0,10,246,4.0650406504065035,Widowed,Actors and actresses
1920,1,6.0,111,246,45.1219512195122,Never married/single,Actors and actresses
1930,1,1.0,599,1633,36.68095529699939,"Married, spouse present",Actors and actresses
1930,1,2.0,140,1633,8.573178199632578,"Married, spouse absent",Actors and actresses
1930,1,4.0,100,1633,6.12369871402327,Divorced,Actors and actresses
1930,1,5.0,73,1633,4.470300061236987,Widowed,Actors and actresses
1930,1,6.0,721,1633,44.15186772810778,Never married/single,Actors and actresses
1940,1,1.0,75,211,35.54502369668246,"Married, spouse present",Actors and actresses
1940,1,2.0,19,211,9.004739336492891,"Married, spouse absent",Actors and actresses
1940,1,4.0,17,211,8.056872037914692,Divorced,Actors and actresses
1940,1,5.0,11,211,5.213270142180095,Widowed,Actors and actresses
1940,1,6.0,89,211,42.18009478672986,Never married/single,Actors and actresses
1950,1,1.0,81,153,52.94117647058824,"Married, spouse present",Actors and actresses
1950,1,2.0,9,153,5.88235294117647,"Married, spouse absent",Actors and actresses
1950,1,3.0,3,153,1.9607843137254901,Separated,Actors and actresses
1950,1,4.0,11,153,7.18954248366013,Divorced,Actors and actresses
1950,1,5.0,6,153,3.9215686274509802,Widowed,Actors and actresses
1950,1,6.0,43,153,28.104575163398692,Never married/single,Actors and actresses
1960,1,1.0,520,1017,51.130776794493606,"Married, spouse present",Actors and actresses
1960,1,2.0,14,1017,1.376597836774828,"Married, spouse absent",Actors and actresses
1960,1,3.0,13,1017,1.27826941986234,Separated,Actors and actresses
1960,1,4.0,98,1017,9.636184857423794,Divorced,Actors and actresses
1960,1,5.0,44,1017,4.3264503441494595,Widowed,Actors and actresses
1960,1,6.0,328,1017,32.25172074729597,Never married/single,Actors and actresses
1970,1,1.0,218,490,44.48979591836735,"Married, spouse present",Actors and actresses
1970,1,2.0,8,490,1.6326530612244898,"Married, spouse absent",Actors and actresses
1970,1,3.0,12,490,2.4489795918367347,Separated,Actors and actresses
1970,1,4.0,45,490,9.183673469387756,Divorced,Actors and actresses
1970,1,5.0,18,490,3.6734693877551026,Widowed,Actors and actresses
1970,1,6.0,189,490,38.57142857142858,Never married/single,Actors and actresses
2000,1,1.0,915,2568,35.63084112149533,"Married, spouse present",Actors and actresses
2000,1,2.0,54,2568,2.102803738317757,"Married, spouse absent",Actors and actresses
2000,1,3.0,34,2568,1.32398753894081,Separated,Actors and actresses
2000,1,4.0,285,2568,11.098130841121495,Divorced,Actors and actresses
2000,1,5.0,79,2568,3.0763239875389408,Widowed,Actors and actresses
2000,1,6.0,1201,2568,46.76791277258567,Never married/single,Actors and actresses
2001,1,1.0,81,214,37.850467289719624,"Married, spouse present",Actors and actresses
2001,1,2.0,2,214,0.9345794392523363,"Married, spouse absent",Actors and actresses
2001,1,3.0,4,214,1.8691588785046727,Separated,Actors and actresses
2001,1,4.0,26,214,12.149532710280374,Divorced,Actors and actresses
2001,1,5.0,5,214,2.336448598130841,Widowed,Actors and actresses
2001,1,6.0,96,214,44.85981308411215,Never married/single,Actors and actresses
2002,1,1.0,72,208,34.61538461538461,"Married, spouse present",Actors and actresses
2002,1,2.0,9,208,4.326923076923077,"Married, spouse absent",Actors and actresses
2002,1,3.0,1,208,0.4807692307692308,Separated,Actors and actresses
2002,1,4.0,22,208,10.576923076923077,Divorced,Actors and actresses
2002,1,5.0,8,208,3.8461538461538463,Widowed,Actors and actresses
2002,1,6.0,96,208,46.15384615384615,Never married/single,Actors and actresses
2003,1,1.0,77,199,38.69346733668342,"Married, spouse present",Actors and actresses
2003,1,2.0,1,199,0.5025125628140703,"Married, spouse absent",Actors and actresses
2003,1,3.0,2,199,1.0050251256281406,Separated,Actors and actresses
2003,1,4.0,26,199,13.06532663316583,Divorced,Actors and actresses
2003,1,5.0,3,199,1.507537688442211,Widowed,Actors and actresses
2003,1,6.0,90,199,45.22613065326633,Never married/single,Actors and actresses
2004,1,1.0,90,219,41.0958904109589,"Married, spouse present",Actors and actresses
2004,1,2.0,1,219,0.45662100456621,"Married, spouse absent",Actors and actresses
2004,1,3.0,5,219,2.28310502283105,Separated,Actors and actresses
2004,1,4.0,32,219,14.61187214611872,Divorced,Actors and actresses
2004,1,5.0,2,219,0.91324200913242,Widowed,Actors and actresses
2004,1,6.0,89,219,40.63926940639269,Never married/single,Actors and actresses
2005,1,1.0,231,569,40.597539543058,"Married, spouse present",Actors and actresses
2005,1,2.0,4,569,0.7029876977152899,"Married, spouse absent",Actors and actresses
2005,1,3.0,11,569,1.9332161687170473,Separated,Actors and actresses
2005,1,4.0,62,569,10.896309314586995,Divorced,Actors and actresses
2005,1,5.0,15,569,2.6362038664323375,Widowed,Actors and actresses
2005,1,6.0,246,569,43.23374340949033,Never married/single,Actors and actresses
2006,1,1.0,222,597,37.185929648241206,"Married, spouse present",Actors and actresses
2006,1,2.0,5,597,0.8375209380234505,"Married, spouse absent",Actors and actresses
2006,1,3.0,8,597,1.340033500837521,Separated,Actors and actresses
2006,1,4.0,58,597,9.715242881072026,Divorced,Actors and actresses
2006,1,5.0,15,597,2.512562814070352,Widowed,Actors and actresses
2006,1,6.0,289,597,48.40871021775545,Never married/single,Actors and actresses
2007,1,1.0,246,664,37.04819277108434,"Married, spouse present",Actors and actresses
2007,1,2.0,9,664,1.355421686746988,"Married, spouse absent",Actors and actresses
2007,1,3.0,8,664,1.2048192771084338,Separated,Actors and actresses
2007,1,4.0,83,664,12.5,Divorced,Actors and actresses
2007,1,5.0,15,664,2.2590361445783134,Widowed,Actors and actresses
2007,1,6.0,303,664,45.63253012048193,Never married/single,Actors and actresses
2008,1,1.0,255,602,42.35880398671096,"Married, spouse present",Actors and actresses
2008,1,2.0,9,602,1.495016611295681,"Married, spouse absent",Actors and actresses
2008,1,3.0,6,602,0.9966777408637874,Separated,Actors and actresses
2008,1,4.0,65,602,10.79734219269103,Divorced,Actors and actresses
2008,1,5.0,15,602,2.4916943521594686,Widowed,Actors and actresses
2008,1,6.0,252,602,41.86046511627907,Never married/single,Actors and actresses
2009,1,1.0,246,653,37.67228177641654,"Married, spouse present",Actors and actresses
2009,1,2.0,7,653,1.0719754977029097,"Married, spouse absent",Actors and actresses
2009,1,3.0,12,653,1.8376722817764166,Separated,Actors and actresses
2009,1,4.0,51,653,7.810107197549771,Divorced,Actors and actresses
2009,1,5.0,13,653,1.9908116385911179,Widowed,Actors and actresses
2009,1,6.0,324,653,49.617151607963244,Never married/single,Actors and actresses
2010,1,1.0,221,646,34.21052631578947,"Married, spouse present",Actors and actresses
2010,1,2.0,12,646,1.8575851393188854,"Married, spouse absent",Actors and actresses
2010,1,3.0,9,646,1.393188854489164,Separated,Actors and actresses
2010,1,4.0,79,646,12.229102167182662,Divorced,Actors and actresses
2010,1,5.0,17,646,2.631578947368421,Widowed,Actors and actresses
2010,1,6.0,308,646,47.6780185758514,Never married/single,Actors and actresses
2011,1,1.0,227,665,34.13533834586466,"Married, spouse present",Actors and actresses
2011,1,2.0,16,665,2.4060150375939853,"Married, spouse absent",Actors and actresses
2011,1,3.0,11,665,1.6541353383458646,Separated,Actors and actresses
2011,1,4.0,75,665,11.278195488721805,Divorced,Actors and actresses
2011,1,5.0,8,665,1.2030075187969926,Widowed,Actors and actresses
2011,1,6.0,328,665,49.32330827067669,Never married/single,Actors and actresses
2012,1,1.0,243,681,35.68281938325991,"Married, spouse present",Actors and actresses
2012,1,2.0,11,681,1.6152716593245229,"Married, spouse absent",Actors and actresses
2012,1,3.0,8,681,1.1747430249632893,Separated,Actors and actresses
2012,1,4.0,66,681,9.691629955947137,Divorced,Actors and actresses
2012,1,5.0,14,681,2.0558002936857562,Widowed,Actors and actresses
2012,1,6.0,339,681,49.77973568281938,Never married/single,Actors and actresses
2013,1,1.0,260,718,36.211699164345404,"Married, spouse present",Actors and actresses
2013,1,2.0,18,718,2.5069637883008355,"Married, spouse absent",Actors and actresses
2013,1,3.0,10,718,1.392757660167131,Separated,Actors and actresses
2013,1,4.0,69,718,9.610027855153204,Divorced,Actors and actresses
2013,1,5.0,21,718,2.9247910863509747,Widowed,Actors and actresses
2013,1,6.0,340,718,47.353760445682454,Never married/single,Actors and actresses
2014,1,1.0,262,735,35.64625850340136,"Married, spouse present",Actors and actresses
2014,1,2.0,10,735,1.3605442176870748,"Married, spouse absent",Actors and actresses
2014,1,3.0,6,735,0.8163265306122449,Separated,Actors and actresses
2014,1,4.0,77,735,10.476190476190476,Divorced,Actors and actresses
2014,1,5.0,15,735,2.0408163265306123,Widowed,Actors and actresses
2014,1,6.0,365,735,49.65986394557823,Never married/single,Actors and actresses
2015,1,1.0,282,734,38.41961852861036,"Married, spouse present",Actors and actresses
2015,1,2.0,10,734,1.3623978201634876,"Married, spouse absent",Actors and actresses
2015,1,3.0,12,734,1.6348773841961852,Separated,Actors and actresses
2015,1,4.0,58,734,7.901907356948229,Divorced,Actors and actresses
2015,1,5.0,19,734,2.588555858310627,Widowed,Actors and actresses
2015,1,6.0,353,734,48.09264305177112,Never married/single,Actors and actresses
2016,1,1.0,321,826,38.86198547215496,"Married, spouse present",Actors and actresses
2016,1,2.0,13,826,1.573849878934625,"Married, spouse absent",Actors and actresses
2016,1,3.0,15,826,1.8159806295399514,Separated,Actors and actresses
2016,1,4.0,84,826,10.16949152542373,Divorced,Actors and actresses
2016,1,5.0,19,826,2.3002421307506054,Widowed,Actors and actresses
2016,1,6.0,374,826,45.27845036319613,Never married/single,Actors and actresses
2017,1,1.0,330,843,39.14590747330961,"Married, spouse present",Actors and actresses
2017,1,2.0,17,843,2.0166073546856467,"Married, spouse absent",Actors and actresses
2017,1,3.0,10,843,1.1862396204033214,Separated,Actors and actresses
2017,1,4.0,60,843,7.11743772241993,Divorced,Actors and actresses
2017,1,5.0,15,843,1.7793594306049825,Widowed,Actors and actresses
2017,1,6.0,411,843,48.754448398576514,Never married/single,Actors and actresses
2018,1,1.0,330,823,40.09720534629405,"Married, spouse present",Actors and actresses
2018,1,2.0,15,823,1.8226002430133657,"Married, spouse absent",Actors and actresses
2018,1,3.0,12,823,1.4580801944106925,Separated,Actors and actresses
2018,1,4.0,71,823,8.626974483596598,Divorced,Actors and actresses
2018,1,5.0,14,823,1.701093560145808,Widowed,Actors and actresses
2018,1,6.0,381,823,46.29404617253949,Never married/single,Actors and actresses
2019,1,1.0,380,970,39.175257731958766,"Married, spouse present",Actors and actresses
2019,1,2.0,8,970,0.8247422680412372,"Married, spouse absent",Actors and actresses
2019,1,3.0,10,970,1.0309278350515463,Separated,Actors and actresses
2019,1,4.0,85,970,8.762886597938143,Divorced,Actors and actresses
2019,1,5.0,13,970,1.3402061855670102,Widowed,Actors and actresses
2019,1,6.0,474,970,48.865979381443296,Never married/single,Actors and actresses
1880,2,1.0,2,3,66.66666666666666,"Married, spouse present",Airplane pilots and navigators
1880,2,6.0,1,3,33.33333333333333,Never married/single,Airplane pilots and navigators
1900,2,1.0,2,3,66.66666666666666,"Married, spouse present",Airplane pilots and navigators
1900,2,2.0,1,3,33.33333333333333,"Married, spouse absent",Airplane pilots and navigators
1910,2,2.0,1,1,100.0,"Married, spouse absent",Airplane pilots and navigators
1920,2,1.0,5,8,62.5,"Married, spouse present",Airplane pilots and navigators
1920,2,6.0,3,8,37.5,Never married/single,Airplane pilots and navigators
1930,2,1.0,111,270,41.11111111111111,"Married, spouse present",Airplane pilots and navigators
1930,2,2.0,13,270,4.814814814814815,"Married, spouse absent",Airplane pilots and navigators
1930,2,4.0,10,270,3.7037037037037033,Divorced,Airplane pilots and navigators
1930,2,5.0,3,270,1.1111111111111112,Widowed,Airplane pilots and navigators
1930,2,6.0,133,270,49.25925925925926,Never married/single,Airplane pilots and navigators
1940,2,1.0,48,72,66.66666666666666,"Married, spouse present",Airplane pilots and navigators
1940,2,2.0,3,72,4.166666666666666,"Married, spouse absent",Airplane pilots and navigators
1940,2,5.0,1,72,1.3888888888888888,Widowed,Airplane pilots and navigators
1940,2,6.0,20,72,27.77777777777778,Never married/single,Airplane pilots and navigators
1950,2,1.0,131,167,78.44311377245509,"Married, spouse present",Airplane pilots and navigators
1950,2,2.0,6,167,3.592814371257485,"Married, spouse absent",Airplane pilots and navigators
1950,2,4.0,3,167,1.7964071856287425,Divorced,Airplane pilots and navigators
1950,2,5.0,1,167,0.5988023952095809,Widowed,Airplane pilots and navigators
1950,2,6.0,26,167,15.568862275449103,Never married/single,Airplane pilots and navigators
1960,2,1.0,1280,1450,88.27586206896552,"Married, spouse present",Airplane pilots and navigators
1960,2,2.0,19,1450,1.3103448275862069,"Married, spouse absent",Airplane pilots and navigators
1960,2,3.0,9,1450,0.6206896551724138,Separated,Airplane pilots and navigators
1960,2,4.0,33,1450,2.2758620689655173,Divorced,Airplane pilots and navigators
1960,2,5.0,5,1450,0.3448275862068966,Widowed,Airplane pilots and navigators
1960,2,6.0,104,1450,7.1724137931034475,Never married/single,Airplane pilots and navigators
1970,2,1.0,891,1068,83.42696629213484,"Married, spouse present",Airplane pilots and navigators
1970,2,2.0,15,1068,1.4044943820224718,"Married, spouse absent",Airplane pilots and navigators
